#
# RSPConnections_Cobalt
#
# $Id: $
#
# List of Connections between RSP boards and the Cobalt nodes at CEP.
#
# The Core stations have two possible connections: one for 
# 1x48 HBA tiles, one for 2x24 HBA tiles. These have two separate 
# entries in this file.
#
# International stations have one entry per VLAN. Each set of entries
# must be duplicated to obtain the settings for the 4 RSP boards that
# send data.
#
#                IMPORTANT !!!!!! BEWARE
#
# 	The items in the seperate lines of this file must be seperated by either a SINGLE whitespace or a single tab!!!!
#	Furthermore, this file is read by PVSS controllers to fill in the database, ANY change could possibly have an impact
#	on PVSS, so please double check. In case of doubt, contact the PVSS maintainer
#
# The network configuration is as follows:
#
# RD0 -> cbt207 ... cbt213
# RD1 -> cbt201 ... cbt206
#
# NOTES:
# - This is a mapping for COMMISSIONING

CS002 RSP_0 cbt207-10GB01.online.lofar 10.168.166.1 E4:43:4B:3E:93:51
CS002 RSP_1 cbt207-10GB01.online.lofar 10.168.166.1 E4:43:4B:3E:93:51

CS026 RSP_0 cbt207-10GB04.online.lofar 10.168.166.4 F8:F2:1E:42:2F:80
CS026 RSP_1 cbt207-10GB04.online.lofar 10.168.166.4 F8:F2:1E:42:2F:80

CS302 RSP_0 cbt207-10GB02.online.lofar 10.168.166.2 E4:43:4B:3E:93:52
CS302 RSP_1 cbt207-10GB02.online.lofar 10.168.166.2 E4:43:4B:3E:93:52

DE602 RSP_0 cbt207-10GB06.online.lofar 10.200.41.207 F8:F2:1E:42:2F:82

FR606 RSP_0 cbt207-10GB06.online.lofar 10.211.1.207 F8:F2:1E:42:2F:82
FR606 RSP_0 cbt207-10GB06.online.lofar 10.212.1.207 F8:F2:1E:42:2F:82
FR606 RSP_0 cbt207-10GB06.online.lofar 10.213.1.207 F8:F2:1E:42:2F:82
FR606 RSP_0 cbt207-10GB06.online.lofar 10.214.1.207 F8:F2:1E:42:2F:82

CS003 RSP_0 cbt208-10GB01.online.lofar 10.168.167.1 E4:43:4B:3E:94:11
CS003 RSP_1 cbt208-10GB01.online.lofar 10.168.167.1 E4:43:4B:3E:94:11

CS028 RSP_0 cbt208-10GB02.online.lofar 10.168.167.2 E4:43:4B:3E:94:12
CS028 RSP_1 cbt208-10GB02.online.lofar 10.168.167.2 E4:43:4B:3E:94:12

RS106 RSP_0 cbt208-10GB04.online.lofar 10.168.167.4 F8:F2:1E:42:34:B0

PL610 RSP_0 cbt208-10GB06.online.lofar 10.220.11.208 F8:F2:1E:42:34:B2

DE601 RSP_0 cbt208-10GB06.online.lofar 10.211.1.208 F8:F2:1E:42:34:B2
DE601 RSP_0 cbt208-10GB06.online.lofar 10.212.1.208 F8:F2:1E:42:34:B2
DE601 RSP_0 cbt208-10GB06.online.lofar 10.213.1.208 F8:F2:1E:42:34:B2
DE601 RSP_0 cbt208-10GB06.online.lofar 10.214.1.208 F8:F2:1E:42:34:B2

CS004 RSP_0 cbt209-10GB01.online.lofar 10.168.168.1 E4:43:4B:3E:5F:61
CS004 RSP_1 cbt209-10GB01.online.lofar 10.168.168.1 E4:43:4B:3E:5F:61

CS031 RSP_0 cbt209-10GB02.online.lofar 10.168.168.2 E4:43:4B:3E:5F:62
CS031 RSP_1 cbt209-10GB02.online.lofar 10.168.168.2 E4:43:4B:3E:5F:62

RS210 RSP_0 cbt209-10GB04.online.lofar 10.168.168.4 F8:F2:1E:42:30:E0

DE604 RSP_0 cbt209-10GB06.online.lofar 10.200.81.209 F8:F2:1E:42:30:E2

SE607 RSP_0 cbt209-10GB06.online.lofar 10.211.1.209 F8:F2:1E:42:30:E2
SE607 RSP_0 cbt209-10GB06.online.lofar 10.212.1.209 F8:F2:1E:42:30:E2
SE607 RSP_0 cbt209-10GB06.online.lofar 10.213.1.209 F8:F2:1E:42:30:E2
